labels,source,path
m_surprise,SAVEE,../dataset/savee/AudioData/DC/su02.wav
m_happy,SAVEE,../dataset/savee/AudioData/DC/h07.wav
m_happy,SAVEE,../dataset/savee/AudioData/DC/h14.wav
m_disgust,SAVEE,../dataset/savee/AudioData/DC/d02.wav
m_disgust,SAVEE,../dataset/savee/AudioData/DC/d11.wav
m_neutral,SAVEE,../dataset/savee/AudioData/DC/n25.wav
m_fear,SAVEE,../dataset/savee/AudioData/DC/f09.wav
m_fear,SAVEE,../dataset/savee/AudioData/DC/f12.wav
m_disgust,SAVEE,../dataset/savee/AudioData/DC/d09.wav
m_angry,SAVEE,../dataset/savee/AudioData/DC/a12.wav
m_angry,SAVEE,../dataset/savee/AudioData/DC/a13.wav
m_neutral,SAVEE,../dataset/savee/AudioData/DC/n11.wav
m_angry,SAVEE,../dataset/savee/AudioData/DC/a09.wav
m_fear,SAVEE,../dataset/savee/AudioData/DC/f01.wav
m_angry,SAVEE,../dataset/savee/AudioData/DC/a10.wav
m_neutral,SAVEE,../dataset/savee/AudioData/DC/n22.wav
m_fear,SAVEE,../dataset/savee/AudioData/DC/f13.wav
m_angry,SAVEE,../dataset/savee/AudioData/DC/a14.wav
m_neutral,SAVEE,../dataset/savee/AudioData/DC/n05.wav
m_happy,SAVEE,../dataset/savee/AudioData/DC/h12.wav
m_fear,SAVEE,../dataset/savee/AudioData/DC/f11.wav
m_disgust,SAVEE,../dataset/savee/AudioData/DC/d04.wav
m_sad,SAVEE,../dataset/savee/AudioData/DC/sa11.wav
m_surprise,SAVEE,../dataset/savee/AudioData/DC/su13.wav
m_disgust,SAVEE,../dataset/savee/AudioData/DC/d08.wav
m_angry,SAVEE,../dataset/savee/AudioData/DC/a02.wav
m_surprise,SAVEE,../dataset/savee/AudioData/DC/su11.wav
m_sad,SAVEE,../dataset/savee/AudioData/DC/sa15.wav
m_disgust,SAVEE,../dataset/savee/AudioData/DC/d07.wav
m_disgust,SAVEE,../dataset/savee/AudioData/DC/d15.wav
m_surprise,SAVEE,../dataset/savee/AudioData/DC/su09.wav
m_neutral,SAVEE,../dataset/savee/AudioData/DC/n13.wav
m_fear,SAVEE,../dataset/savee/AudioData/DC/f02.wav
m_happy,SAVEE,../dataset/savee/AudioData/DC/h06.wav
m_surprise,SAVEE,../dataset/savee/AudioData/DC/su12.wav
m_neutral,SAVEE,../dataset/savee/AudioData/DC/n09.wav
m_fear,SAVEE,../dataset/savee/AudioData/DC/f03.wav
m_neutral,SAVEE,../dataset/savee/AudioData/DC/n29.wav
m_disgust,SAVEE,../dataset/savee/AudioData/DC/d06.wav
m_sad,SAVEE,../dataset/savee/AudioData/DC/sa10.wav
m_neutral,SAVEE,../dataset/savee/AudioData/DC/n26.wav
m_disgust,SAVEE,../dataset/savee/AudioData/DC/d03.wav
m_neutral,SAVEE,../dataset/savee/AudioData/DC/n24.wav
m_angry,SAVEE,../dataset/savee/AudioData/DC/a05.wav
m_surprise,SAVEE,../dataset/savee/AudioData/DC/su10.wav
m_angry,SAVEE,../dataset/savee/AudioData/DC/a01.wav
m_angry,SAVEE,../dataset/savee/AudioData/DC/a11.wav
m_neutral,SAVEE,../dataset/savee/AudioData/DC/n04.wav
m_angry,SAVEE,../dataset/savee/AudioData/DC/a15.wav
m_sad,SAVEE,../dataset/savee/AudioData/DC/sa07.wav
m_neutral,SAVEE,../dataset/savee/AudioData/DC/n06.wav
m_happy,SAVEE,../dataset/savee/AudioData/DC/h05.wav
m_fear,SAVEE,../dataset/savee/AudioData/DC/f10.wav
m_sad,SAVEE,../dataset/savee/AudioData/DC/sa14.wav
m_sad,SAVEE,../dataset/savee/AudioData/DC/sa09.wav
m_fear,SAVEE,../dataset/savee/AudioData/DC/f07.wav
m_sad,SAVEE,../dataset/savee/AudioData/DC/sa12.wav
m_sad,SAVEE,../dataset/savee/AudioData/DC/sa02.wav
m_neutral,SAVEE,../dataset/savee/AudioData/DC/n02.wav
m_neutral,SAVEE,../dataset/savee/AudioData/DC/n17.wav
m_disgust,SAVEE,../dataset/savee/AudioData/DC/d01.wav
m_disgust,SAVEE,../dataset/savee/AudioData/DC/d13.wav
m_neutral,SAVEE,../dataset/savee/AudioData/DC/n21.wav
m_sad,SAVEE,../dataset/savee/AudioData/DC/sa05.wav
m_happy,SAVEE,../dataset/savee/AudioData/DC/h09.wav
m_neutral,SAVEE,../dataset/savee/AudioData/DC/n20.wav
m_disgust,SAVEE,../dataset/savee/AudioData/DC/d10.wav
m_neutral,SAVEE,../dataset/savee/AudioData/DC/n15.wav
m_surprise,SAVEE,../dataset/savee/AudioData/DC/su04.wav
m_neutral,SAVEE,../dataset/savee/AudioData/DC/n07.wav
m_disgust,SAVEE,../dataset/savee/AudioData/DC/d12.wav
m_fear,SAVEE,../dataset/savee/AudioData/DC/f14.wav
m_neutral,SAVEE,../dataset/savee/AudioData/DC/n08.wav
m_fear,SAVEE,../dataset/savee/AudioData/DC/f06.wav
m_disgust,SAVEE,../dataset/savee/AudioData/DC/d05.wav
m_fear,SAVEE,../dataset/savee/AudioData/DC/f05.wav
m_neutral,SAVEE,../dataset/savee/AudioData/DC/n01.wav
m_happy,SAVEE,../dataset/savee/AudioData/DC/h03.wav
m_fear,SAVEE,../dataset/savee/AudioData/DC/f15.wav
m_neutral,SAVEE,../dataset/savee/AudioData/DC/n14.wav
m_sad,SAVEE,../dataset/savee/AudioData/DC/sa08.wav
m_neutral,SAVEE,../dataset/savee/AudioData/DC/n10.wav
m_neutral,SAVEE,../dataset/savee/AudioData/DC/n18.wav
m_surprise,SAVEE,../dataset/savee/AudioData/DC/su14.wav
m_surprise,SAVEE,../dataset/savee/AudioData/DC/su15.wav
m_surprise,SAVEE,../dataset/savee/AudioData/DC/su06.wav
m_neutral,SAVEE,../dataset/savee/AudioData/DC/n28.wav
m_happy,SAVEE,../dataset/savee/AudioData/DC/h10.wav
m_happy,SAVEE,../dataset/savee/AudioData/DC/h04.wav
m_neutral,SAVEE,../dataset/savee/AudioData/DC/n03.wav
m_neutral,SAVEE,../dataset/savee/AudioData/DC/n30.wav
m_disgust,SAVEE,../dataset/savee/AudioData/DC/d14.wav
m_happy,SAVEE,../dataset/savee/AudioData/DC/h02.wav
m_neutral,SAVEE,../dataset/savee/AudioData/DC/n19.wav
m_sad,SAVEE,../dataset/savee/AudioData/DC/sa01.wav
m_happy,SAVEE,../dataset/savee/AudioData/DC/h01.wav
m_happy,SAVEE,../dataset/savee/AudioData/DC/h15.wav
m_sad,SAVEE,../dataset/savee/AudioData/DC/sa13.wav
m_angry,SAVEE,../dataset/savee/AudioData/DC/a07.wav
m_neutral,SAVEE,../dataset/savee/AudioData/DC/n27.wav
m_happy,SAVEE,../dataset/savee/AudioData/DC/h08.wav
m_surprise,SAVEE,../dataset/savee/AudioData/DC/su05.wav
m_neutral,SAVEE,../dataset/savee/AudioData/DC/n12.wav
m_surprise,SAVEE,../dataset/savee/AudioData/DC/su08.wav
m_sad,SAVEE,../dataset/savee/AudioData/DC/sa04.wav
m_sad,SAVEE,../dataset/savee/AudioData/DC/sa06.wav
m_surprise,SAVEE,../dataset/savee/AudioData/DC/su07.wav
m_happy,SAVEE,../dataset/savee/AudioData/DC/h11.wav
m_surprise,SAVEE,../dataset/savee/AudioData/DC/su01.wav
m_fear,SAVEE,../dataset/savee/AudioData/DC/f04.wav
m_angry,SAVEE,../dataset/savee/AudioData/DC/a06.wav
m_angry,SAVEE,../dataset/savee/AudioData/DC/a03.wav
m_sad,SAVEE,../dataset/savee/AudioData/DC/sa03.wav
m_surprise,SAVEE,../dataset/savee/AudioData/DC/su03.wav
m_angry,SAVEE,../dataset/savee/AudioData/DC/a08.wav
m_angry,SAVEE,../dataset/savee/AudioData/DC/a04.wav
m_neutral,SAVEE,../dataset/savee/AudioData/DC/n16.wav
m_neutral,SAVEE,../dataset/savee/AudioData/DC/n23.wav
m_happy,SAVEE,../dataset/savee/AudioData/DC/h13.wav
m_fear,SAVEE,../dataset/savee/AudioData/DC/f08.wav
m_surprise,SAVEE,../dataset/savee/AudioData/JE/su02.wav
m_happy,SAVEE,../dataset/savee/AudioData/JE/h07.wav
m_happy,SAVEE,../dataset/savee/AudioData/JE/h14.wav
m_disgust,SAVEE,../dataset/savee/AudioData/JE/d02.wav
m_disgust,SAVEE,../dataset/savee/AudioData/JE/d11.wav
m_neutral,SAVEE,../dataset/savee/AudioData/JE/n25.wav
m_fear,SAVEE,../dataset/savee/AudioData/JE/f09.wav
m_fear,SAVEE,../dataset/savee/AudioData/JE/f12.wav
m_disgust,SAVEE,../dataset/savee/AudioData/JE/d09.wav
m_angry,SAVEE,../dataset/savee/AudioData/JE/a12.wav
m_angry,SAVEE,../dataset/savee/AudioData/JE/a13.wav
m_neutral,SAVEE,../dataset/savee/AudioData/JE/n11.wav
m_angry,SAVEE,../dataset/savee/AudioData/JE/a09.wav
m_fear,SAVEE,../dataset/savee/AudioData/JE/f01.wav
m_angry,SAVEE,../dataset/savee/AudioData/JE/a10.wav
m_neutral,SAVEE,../dataset/savee/AudioData/JE/n22.wav
m_fear,SAVEE,../dataset/savee/AudioData/JE/f13.wav
m_angry,SAVEE,../dataset/savee/AudioData/JE/a14.wav
m_neutral,SAVEE,../dataset/savee/AudioData/JE/n05.wav
m_happy,SAVEE,../dataset/savee/AudioData/JE/h12.wav
m_fear,SAVEE,../dataset/savee/AudioData/JE/f11.wav
